name ,platform,url_yt,url_instagram,url_linkedin
technical guruji,tech,Technical Guruji - YouTube,Gaurav Chaudhary (@technicalguruji) • Instagram photos and videos,NA
trackin tech,tech,Trakin Tech - YouTube,Arun Prabhudesai (@8ap) • Instagram photos and videos,NA
doug demuro,automobile,(7) Doug DeMuro - YouTube,Cars & Bids (@carsandbids) • Instagram photos and videos,NA
car wow,automobile,https://youtube.com/@carwow?si=jCZmzuzsta32u7fl,carwow • Instagram photos and videos,NA
sam chui,airline,http://www.youtube.com/@SamChui,Sam Chui (@samchui) • Instagram photos and videos,NA
Josh Cahill,airline,https://youtube.com/@joshcahill?si=3lVZ13hjkWLJrYio,Josh Cahill (@gotravelyourway) • Instagram photos and videos,NA
tejaswi rajput,fashion,(7) Tejasvi Rajput - YouTube,Tejasvi Rajput 💌🌷 (@tejasvirajput2008) • Instagram photos and videos,NA
san karla,fashion,BeYourBest by San Kalra | India’s Coolest Self-improvement Channel,BeYourBest (@beyourbestig) • Instagram photos and videos,NA
cristiano Ronaldo,sports,UR · Cristiano - YouTube,Cristiano Ronaldo (@cristiano) • Instagram photos and videos,NA
lionel messi,sports,Leo Messi - YouTube,Leo Messi (@leomessi) • Instagram photos and videos,NA
